-6,32;22,29;0,04166;0,004247;42,47;15,47;0,5033;7,985;139438;3,578;2,082;0,05756;0,01146
-1,69;33,82;0,0621;0,004858;48,58;26,01;6,115;16,07;538779;5,615;2,246;0,02865;0,005225
2,54;23,33;0,0671;0,002651;26,51;19,07;6,799;12,94;440794;5,251;1,926;0,02378;0,004482
-4,63;25,81;0,03381;0,004797;47,97;18,1;3,077;10,59;71717;2,867;2,072;0,08857;0,01719
-10,44;26,82;0,03472;0,005913;59,13;17,32;-0,9399;8,19;98167;3,183;2,223;0,08208;0,01633
3,35;21,1;0,04685;0,002453;24,53;17,16;7,29;12,23;122049;3,423;1,794;0,04786;0,009105
-17,41;31,47;0,05411;0,007145;71,45;19,99;-5,93;7,03;537653;5,611;2,506;0,0342;0,006858
-19,08;21,99;0,03991;0,006355;63,55;11,78;-8,87;1,455;188627;3,957;2,354;0,05834;0,01246
-16,19;20,07;0,05052;0,005251;52,51;11,63;-7,753;1,94;356272;4,892;2,303;0,03701;0,007851
-4,83;29,27;0,04678;0,004973;49,73;21,28;3,161;12,22;223086;4,185;2,197;0,04803;0,009132
1,27;20,56;0,05138;0,002618;26,18;16,35;5,475;10,92;181275;3,905;1,859;0,03939;0,007595
-15,09;29,07;0,03867;0,006905;69,05;17,98;-3,996;6,99;166460;3,796;2,372;0,06586;0,01325
-2,15;22,88;0,05237;0,003459;34,59;17,32;3,408;10,37;247735;4,334;2,02;0,03773;0,007315
4,27;27,9;0,0556;0,003189;31,89;22,78;9,394;16,09;259974;4,404;1,968;0,03561;0,006501
-13,38;21,45;0,06568;0,004739;47,39;13,84;-5,766;4,035;764224;6,308;2,299;0,02258;0,004676
-0,58;23,5;0,0305;0,003853;38,53;17,31;5,611;11,46;40417;2,368;1,902;0,1088;0,02095
-7,45;29,3;0,04599;0,00542;54,2;20,59;1,258;10,93;231005;4,234;2,252;0,04899;0,009442
-5,61;33,54;0,05626;0,005533;55,33;24,65;3,28;13,97;444988;5,268;2,311;0,03406;0,006351
2,38;21,32;0,05473;0,002521;25,21;17,27;6,431;11,85;214982;4,133;1,852;0,03514;0,006706
-10,97;21,91;0,03684;0,005099;50,99;13,72;-2,777;5,47;110806;3,314;2,163;0,07111;0,01456
-18,31;29,72;0,06397;0,006785;67,85;18,82;-7,408;5,705;918803;6,708;2,524;0,02424;0,004927
2,92;31,59;0,06082;0,003854;38,54;25,4;9,112;17,26;406452;5,111;2,095;0,03021;0,005445
-6,05;33,07;0,04055;0,005973;59,73;23,47;3,546;13,51;156507;3,718;2,261;0,06434;0,01208
-9,89;20,98;0,04237;0,004594;45,94;13,6;-2,508;5,545;164397;3,78;2,146;0,05426;0,01109
1,01;26,02;0,03956;0,003718;37,18;20,05;6,984;13,52;95242;3,151;1,964;0,06745;0,01267
-15,86;24,38;0,05871;0,005686;56,86;15,24;-6,724;4,26;609463;5,85;2,387;0,02826;0,005838
-7,72;24,52;0,04093;0,004851;48,51;16,73;0,07351;8,4;146166;3,635;2,155;0,05984;0,01186
-8,4;28,54;0,06888;0,004987;49,87;20,53;-0,3869;10,07;851255;6,539;2,316;0,02193;0,004256
-0,05;27;0,06352;0,003588;35,88;21,24;5,715;13,48;468802;5,36;2,08;0,02666;0,004996
-9,17;32,31;0,06274;0,00577;57,7;23,04;0,1013;11,57;688521;6,093;2,38;0,0268;0,00512
-3,61;24,07;0,04907;0,003923;39,23;17,77;2,694;10,23;221234;4,173;2,076;0,04282;0,008314
2,04;32,62;0,03431;0,004789;47,89;24,93;9,735;17,33;67980;2,816;2,047;0,09239;0,01671
3,91;24,75;0,03645;0,003132;31,32;19,72;8,942;14,33;60662;2,711;1,838;0,07969;0,01486
-8,79;25,43;0,06931;0,004582;45,82;18,07;-1,428;8,32;831985;6,49;2,272;0,02125;0,004203
-11,2;24,2;0,06192;0,004876;48,76;16,37;-3,366;6,5;618718;5,88;2,291;0,02605;0,005255
-2,99;25,03;0,05986;0,003787;37,87;18,95;3,095;11,02;416933;5,155;2,107;0,02921;0,005619
-12,31;34,64;0,04535;0,007089;70,89;23,25;-0,9196;11,17;275799;4,491;2,424;0,05051;0,009705
-2,45;30,59;0,04499;0,004848;48,48;22,8;5,34;14,07;185608;3,936;2,16;0,05284;0,009858
-9,32;29,47;0,03746;0,006048;60,48;19,75;0,3969;10,08;126718;3,466;2,257;0,07234;0,01409
1,87;30,71;0,03303;0,00455;45,5;23,4;9,181;16,29;57719;2,667;2,007;0,09831;0,01798
-6,58;28,64;0,03544;0,005532;55,32;19,75;2,308;11,03;95213;3,151;2,175;0,08131;0,01569
-12,96;27,73;0,05888;0,00574;57,4;18,51;-3,737;7,385;591021;5,791;2,379;0,02906;0,005805
-10,08;23,09;0,04382;0,00492;49,2;15,18;-2,175;6,505;192911;3,987;2,195;0,05135;0,01038
0,17;29,93;0,06468;0,003966;39,66;23,56;6,542;15,05;529092;5,581;2,137;0,02615;0,004821
-1,18;27,97;0,06794;0,003839;38,39;21,8;4,988;13,4;622242;5,891;2,137;0,02332;0,004373
-18,05;32,12;0,06431;0,007106;71,06;20,7;-6,633;7,035;951837;6,787;2,551;0,02434;0,004876
4,09;27,24;0,05721;0,003097;30,97;22,26;9,065;15,67;281221;4,521;1,961;0,03352;0,006144
-19,64;28,97;0,03038;0,008132;81,32;15,9;-6,574;4,665;85823;3,044;2,403;0,1021;0,02111
3,58;33,37;0,05587;0,004098;40,98;26,79;10,16;18,47;315437;4,697;2,104;0,03617;0,006439
-8,18;22,24;0,06745;0,004049;40,49;15,73;-1,674;7,03;699433;6,125;2,194;0,02212;0,004436
